,user,tweetText,simplePolarity,nouns,party,state
1628,RepHolding,Today some of my colleagues and I from North Carolina introduced a bill to allow nonprofit firefighters and emergency medical service workers to join a state or local retirement system 1 4,0.0,"['carolina', 'nonprofit firefighters', 'medical service workers', 'local retirement system']",R,North Carolina
1629,RepHolding,Hoping and the First Lady have a speedy recovery from coronavirus My thoughts and prayers are with you both,0.25,"['hoping', 'speedy recovery']",R,North Carolina
1630,RepWalterJones,2 2 The funeral will be held at St Peter Catholic Church in Greenville NC on Thursday February 14th at 1 30pm This event is open to the public Private family internment to follow,0.0,"['st peter', 'catholic church', 'greenville nc', 'february', 'public private family internment']",R,North Carolina
1631,RepWalterJones,1 2 From 4pm to 8pm on Wednesday February 13th Congressman Walter B Jones will lie in repose at St Peter Catholic Church in Greenville NC All who wish to pay their respects are welcome,0.26666666666666666,"['february', 'walter', 'jones', 'st peter', 'catholic church', 'greenville nc']",R,North Carolina
1632,RepWalterJones,With a kind heart and the courage of his convictions he dedicated his life to serving his Savior and to standing up for Americans who needed a voice,0.6,"['kind heart', 'savior']",R,North Carolina
1633,RepWalterJones,The IRS is now accepting and processing tax returns Certified volunteers are offering free tax prep to eligible taxpayers who earned 55K or less in 2018 For more information please visit,0.24444444444444446,"['irs', 'processing tax returns', 'certified', 'free tax prep', 'eligible taxpayers']",R,North Carolina
1634,RepWalterJones,3 3 Any resident commercial fisherman or shellfish harvester licensed in September 2018 and who had landings in September 2015 2016 or 2017 who did not receive a letter from the division should contact the division s Morehead City Office at 252 726 7021 or 800 682 2632,0.0,"['resident commercial fisherman', 'shellfish harvester', 'september', 'september', 'division s', 'morehead', 'city office']",R,North Carolina
1635,RepDavidEPrice, NIBS joins nearly 3 dozen organizations in support of legislation introduced by to safeguar,0.1,"['nibs', 'dozen organizations']",D,North Carolina
1636,RepDavidEPrice,Want to vote by mail this election The deadline to register is TODAY Voter registration will be available IN PERSON at early voting sites Oct 15 31 Don t wait Learn how to register at,0.25,"['want', 'today voter', 'in person', 'oct', 'don', 'learn']",D,North Carolina
1637,RepDavidEPrice,Thank you for the support,0.0,['thank'],D,North Carolina
1638,RepDavidEPrice,If we don t tackle the pending eviction crisis we could face a homelessness crisis I m bringing together local experts to discuss available housing resources during COVID 19 at my virtual town hall next Wed Oct 14 at 2 00 pm RSVP to join,0.13333333333333333,"['don t tackle', 'pending eviction crisis', 'homelessness crisis', 'local experts', 'covid', 'virtual town hall', 'wed oct', 'rsvp']",D,North Carolina
