RepSusanWild, D, Pennsylvania
RepCartwright, D, Pennsylvania
RepMeuser, R, Pennsylvania
RepScottPerry, R, Pennsylvania
RepSmucker, R, Pennsylvania
RepJohnJoyce, R, Pennsylvania
GReschenthaler, R, Pennsylvania
CongressmanGT, R, Pennsylvania
MikeKellyPA, R, Pennsylvania
RepConorLamb, D, Pennsylvania
USRepMikeDoyle, D, Pennsylvania
davidcicilline, D, Rhode Island
JimLangevin, D, Rhode Island
RepCunningham, D, South Carolina
RepJoeWilson, R, South Carolina
RepJeffDuncan, R, South Carolina
reptimmons, R, South Carolina
RepRalphNorman, R, South Carolina
WhipClyburn, D, South Carolina
RepTomRice, R, South Carolina
RepDustyJohnson, R, South Dakota
DrPhilRoe, R, Tennessee
RepTimBurchett, R, Tennessee
RepChuck, R, Tennessee
DesJarlaisTN04, R, Tennessee
repjimcooper, D, Tennessee
RepJohnRose, R, Tennessee
RepMarkGreen, R, Tennesseek
RepDavidKustoff, R, Tennessee
RepCohen, D, Tennessee
replouiegohmert, R, Texas
RepDanCrenshaw, R, Texas
RepVanTaylor, R, Texas
RepRatcliffe, R, Texas
RepRonWright, R, Texas
RepFletcher, D, Texas
RepKevinBrady, R, Texas
RepAlGreen, D, Texas
RepMcCaul, R, Texas
ConawayTX11, R, Texas
RepKayGranger, R, Texas
MacTXPress, R, Texas
TXRandy14, R, Texas
RepGonzalez, D, Texas
RepEscobar, D, Texas
RepBillFlores, R, Texas
JacksonLeeTX18, D, Texas
RepArrington, R, Texas
JoaquinCastrotx, D, Texas
RepChipRoy, R, Texas
RepPeteOlson, R, Texas
HurdOnTheHill, R, Texas
RepKenMarchant, R, Texas
RepRWilliams, R, Texas
michaelcburgess, R, Texas
RepCloudTX, R, Texas
RepCuellar, D, Texas
RepSylviaGarcia, D, Texas
RepEBJ, D, Texas
JudgeCarter, R, Texas
RepColinAllred, D, Texas
RepVeasey, D, Texas
RepFilemonVela, D, Texas
RepLloydDoggett, D, Texas
RepBrianBabin, R, Texas
RepChrisStewart, R, Utah
RepJohnCurtis, R, Utah
RepBenMcAdams, D, Utah
RobWittman, R, Virginia
RepElaineLuria, D, Virginia
BobbyScott, D, Virginia
RepMcEachin, D, Virginia
RepRiggleman, R, Virginia
RepBenCline, R, Virginia
RepSpanberger, D, Virginia
RepDonBeyer, D, Virginia
RepMGriffith, R, Virginia
RepWexton, D, Virginia
GerryConnolly, D, Virginia
PeterWelch, D, Vermont
RepDelBene, D, Washington
RepRickLarsen, D, Washington
HerreraBeutler, R, Washington
RepNewhouse, R, Washington
cathymcmorris, R, Washington
RepDerekKilmer, D, Washington
RepJayapal, D, Washington
RepKimSchrier, D, Washington
RepAdamSmith, D, Washington
RepDennyHeck, D, Washington
RepBryanSteil, R, Wisconsin
repmarkpocan, D, Wisconsin
RepRonKind, D, Wisconsin
RepGwenMoore, D, Wisconsin
JimPressOffice, R, Wisconsin
RepGrothman, R, Wisconsin
RepGallagher, R, Wisconsin
RepMcKinley, R, West Virginia
RepAlexMooney, R, West Virginia
RepCarolMiller, R, West Virginia
RepLizCheney, R, Wyoming
